Date,Time,Unit,Value
6/13/22,5:03:55 PM,C,14.5
6/13/22,5:13:55 PM,C,14
6/13/22,5:23:55 PM,C,13.5
6/13/22,5:33:55 PM,C,13.5
6/13/22,5:43:55 PM,C,13.5
6/13/22,5:53:55 PM,C,13
6/13/22,6:03:55 PM,C,13
6/13/22,6:13:55 PM,C,13
6/13/22,6:23:55 PM,C,13
6/13/22,6:33:55 PM,C,13
6/13/22,6:43:55 PM,C,13
6/13/22,6:53:55 PM,C,13
6/13/22,7:03:55 PM,C,12.5
6/13/22,7:13:55 PM,C,12
6/13/22,7:23:55 PM,C,11.5
6/13/22,7:33:55 PM,C,11
6/13/22,7:43:55 PM,C,10.5
6/13/22,7:53:55 PM,C,10.5
6/13/22,8:03:55 PM,C,10
6/13/22,8:13:55 PM,C,9.5
6/13/22,8:23:55 PM,C,9
6/13/22,8:33:55 PM,C,8.5
6/13/22,8:43:55 PM,C,8.5
6/13/22,8:53:55 PM,C,8
6/13/22,9:03:55 PM,C,8
6/13/22,9:13:55 PM,C,7.5
6/13/22,9:23:55 PM,C,7.5
6/13/22,9:33:55 PM,C,7.5
6/13/22,9:43:55 PM,C,7
6/13/22,9:53:55 PM,C,7
6/13/22,10:03:55 PM,C,7
6/13/22,10:13:55 PM,C,6.5
6/13/22,10:23:55 PM,C,6.5
6/13/22,10:33:55 PM,C,6.5
6/13/22,10:43:55 PM,C,6
6/13/22,10:53:55 PM,C,6
6/13/22,11:03:55 PM,C,5.5
6/13/22,11:13:55 PM,C,5.5
6/13/22,11:23:55 PM,C,5
6/13/22,11:33:55 PM,C,5
6/13/22,11:43:55 PM,C,4.5
6/13/22,11:53:55 PM,C,4.5
6/14/22,12:03:55 AM,C,4
6/14/22,12:13:55 AM,C,3.5
6/14/22,12:23:55 AM,C,3.5
6/14/22,12:33:55 AM,C,3
6/14/22,12:43:55 AM,C,3
6/14/22,12:53:55 AM,C,2.5
6/14/22,1:03:55 AM,C,2.5
6/14/22,1:13:55 AM,C,2
6/14/22,1:23:55 AM,C,2
6/14/22,1:33:55 AM,C,2
6/14/22,1:43:55 AM,C,2
6/14/22,1:53:55 AM,C,1.5
6/14/22,2:03:55 AM,C,1
6/14/22,2:13:55 AM,C,1
6/14/22,2:23:55 AM,C,0.5
6/14/22,2:33:55 AM,C,0
6/14/22,2:43:55 AM,C,0
6/14/22,2:53:55 AM,C,0
6/14/22,3:03:55 AM,C,-0.5
6/14/22,3:13:55 AM,C,-0.5
6/14/22,3:23:55 AM,C,-0.5
6/14/22,3:33:55 AM,C,-0.5
6/14/22,3:43:55 AM,C,-0.5
6/14/22,3:53:55 AM,C,-0.5
6/14/22,4:03:55 AM,C,-0.5
6/14/22,4:13:55 AM,C,-0.5
6/14/22,4:23:55 AM,C,0
6/14/22,4:33:55 AM,C,0
6/14/22,4:43:55 AM,C,0
6/14/22,4:53:55 AM,C,0.5
6/14/22,5:03:55 AM,C,0.5
6/14/22,5:13:55 AM,C,1
6/14/22,5:23:55 AM,C,1
6/14/22,5:33:55 AM,C,1.5
6/14/22,5:43:55 AM,C,2
6/14/22,5:53:55 AM,C,2
6/14/22,6:03:55 AM,C,2
6/14/22,6:13:55 AM,C,2.5
6/14/22,6:23:55 AM,C,2.5
6/14/22,6:33:55 AM,C,2.5
6/14/22,6:43:55 AM,C,2.5
6/14/22,6:53:55 AM,C,2.5
6/14/22,7:03:55 AM,C,2.5
6/14/22,7:13:55 AM,C,3
6/14/22,7:23:55 AM,C,3
6/14/22,7:33:55 AM,C,3
6/14/22,7:43:55 AM,C,3
6/14/22,7:53:55 AM,C,3
6/14/22,8:03:55 AM,C,3
6/14/22,8:13:55 AM,C,3
6/14/22,8:23:55 AM,C,3.5
6/14/22,8:33:55 AM,C,3.5
6/14/22,8:43:55 AM,C,3.5
6/14/22,8:53:55 AM,C,4
6/14/22,9:03:55 AM,C,4
6/14/22,9:13:55 AM,C,4.5
6/14/22,9:23:55 AM,C,4.5
6/14/22,9:33:55 AM,C,5
6/14/22,9:43:55 AM,C,5
6/14/22,9:53:55 AM,C,5
6/14/22,10:03:55 AM,C,5
6/14/22,10:13:55 AM,C,5
6/14/22,10:23:55 AM,C,5
6/14/22,10:33:55 AM,C,5.5
6/14/22,10:43:55 AM,C,6
6/14/22,10:53:55 AM,C,6
6/14/22,11:03:55 AM,C,7
6/14/22,11:13:55 AM,C,7
6/14/22,11:23:55 AM,C,7
6/14/22,11:33:55 AM,C,7.5
6/14/22,11:43:55 AM,C,8
6/14/22,11:53:55 AM,C,8
6/14/22,12:03:55 PM,C,8
6/14/22,12:13:55 PM,C,8.5
6/14/22,12:23:55 PM,C,9
